family,n,M,eta,renyi,tv_q1_q2,no_rare_probability,indistinguishable_misrank_lower_bound
renyi,10,4.0,0.1353352832366127,2.1103692443465016,0.13285653105994635,0.22699144394880721,0.11349572197440361
renyi,10,8.0,0.01831563888873418,4.017820334207106,0.01830949467638085,0.8311732210550468,0.4155866105275234
renyi,10,16.0,0.00033546262790251185,8.000335293875441,0.0003354625901511664,0.9966504328999588,0.4983252164499794
renyi,10,32.0,1.1253517471925912e-07,16.000000112535155,1.1253517471925769e-07,0.9999988746488225,0.49999943732441127
kl,10,1000000.0,0.001,1000.0,0.001,0.9900448802097482,0.4950224401048741
renyi,100,4.0,0.1353352832366127,2.1103692443465016,0.13285653105994635,3.631573808186147e-07,1.8157869040930734e-07
renyi,100,8.0,0.01831563888873418,4.017820334207106,0.01830949467638085,0.15736763775370297,0.07868381887685148
renyi,100,16.0,0.00033546262790251185,8.000335293875441,0.0003354625901511664,0.9670047276211372,0.4835023638105686
renyi,100,32.0,1.1253517471925912e-07,16.000000112535155,1.1253517471925769e-07,0.999988746545214,0.499994373272607
kl,100,99999999.99999999,0.0001,9999.999999999998,0.0001,0.9900493386913719,0.49502466934568595
renyi,1000,4.0,0.1353352832366127,2.1103692443465016,0.13285653105994635,3.989778190313822e-65,1.994889095156911e-65
renyi,1000,8.0,0.01831563888873418,4.017820334207106,0.01830949467638085,9.31438653693037e-09,4.657193268465185e-09
renyi,1000,16.0,0.00033546262790251185,8.000335293875441,0.0003354625901511664,0.7149669609331704,0.3574834804665852
renyi,1000,32.0,1.1253517471925912e-07,16.000000112535155,1.1253517471925769e-07,0.9998874711507795,0.49994373557538974
kl,1000,9999999999.999998,1e-05,99999.99999999999,1e-05,0.9900497842463927,0.49502489212319634
renyi,10000,4.0,0.1353352832366127,2.1103692443465016,0.13285653105994635,0.0,0.0
renyi,10000,8.0,0.01831563888873418,4.017820334207106,0.01830949467638085,4.915215541297955e-81,2.4576077706489774e-81
renyi,10000,16.0,0.00033546262790251185,8.000335293875441,0.0003354625901511664,0.03490275690753168,0.01745137845376584
renyi,10000,32.0,1.1253517471925912e-07,16.000000112535155,1.1253517471925769e-07,0.9988752811602233,0.49943764058011164
kl,10000,1000000000000.0001,1e-06,1000000.0000000001,1e-06,0.9900498287986309,0.49502491439931545
